Port,longitude,latitude
FREDERIKSTED,-64.53,17.43
LIMETREE BAY,-64.45,17.42
PORT ALUCROIX,-64.46,17.42
CHRISTIANSTED,-64.42,17.45
ROAD HARBOR,-64.37,18.25
BAIE DU MARIGOT,-63.05,18.04
PHILLIPSBURG,-63.03,18.01
COLES BAY OIL TERMINAL,-63.05,18.01
GUSTAVIA,-62.51,17.54
ORANJESTAD,-62.59,17.29
BASSETERRE,-62.43,17.18
CHARLESTOWN,-62.38,17.08
ST JOHNS,-61.51,17.07
POINTE A PITRE,-61.32,16.14
BASSE TERRE,-61.44,16
PORT LOUIS,-61.32,16.25
ROSEAU,-61.24,15.18
PORTSMOUTH,-61.28,15.34
FORT DE FRANCE,-61.04,14.36
VIEUX FORT,-60.58,13.43
GRAND CUL DE SAC BAY,-61.01,13.59
